"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","regulation"
"105372919",9.37020769722676,0.634966160168313,0.093713683745714,6.77559706105729,1.23893532403913e-11,3.84719209205076e-11,NA,"NS"
"6403",69.1024055540058,-1.03579780032752,0.152888682164611,-6.77484942418629,1.24535895056068e-11,3.86672205479745e-11,"SELP","Down"
"7920",791.579540003819,0.304690198271582,0.0449815187809996,6.77367520103133,1.25551367534796e-11,3.89783126591963e-11,"ABHD16A","NS"
"103344931",72.948455939212,0.455077614631344,0.0671930030599728,6.7726934934753,1.26406572989491e-11,3.92395870319217e-11,"LOC103344931","NS"
"3549",76.5930716545469,1.04919667132861,0.154927429887016,6.77218147937881,1.26854870666997e-11,3.93745049091203e-11,"IHH","Up"
"4504",2.82898685704346,2.73573691074904,0.403969159288328,6.77214299123374,1.26888632102274e-11,3.93807395978155e-11,"MT3","Up"
"79845",108.700678231034,-0.635091340223211,0.093794155845304,-6.7711184614815,1.27790582204953e-11,3.96563920941619e-11,"RNF122","NS"
"10557",200.181713406038,0.30405427790712,0.0449127173596484,6.76989271150839,1.28877930869876e-11,3.99895124791583e-11,"RPP38","NS"
"345778",364.790425904933,0.357627793686465,0.052828139420571,6.76964582907886,1.29098031298112e-11,4.0053491761722e-11,"MTX3","NS"
"53842",40.1332245720087,-0.527504948641779,0.0779268697183525,-6.76923056897212,1.29469074395478e-11,4.01642831459762e-11,"CLDN22","NS"
"1475",184.339399036125,1.06263116288364,0.156989846716958,6.76878909754901,1.2986468332477e-11,4.02826707279916e-11,"CSTA","Up"
"399664",295.127403715829,0.51881339819853,0.0766556831544648,6.76810090066117,1.30483749132392e-11,4.04703393377989e-11,"MEX3D","NS"
"655",5.43914123256628,3.05789982945542,0.451817449637041,6.76799851779058,1.30576094041843e-11,4.04946193863558e-11,"BMP7","Up"
"26167",27.7657982440563,1.07694773360071,0.159148511743408,6.76693562385963,1.31538567990402e-11,4.07887119735932e-11,"PCDHB5","Up"
"105373557",44.0878627833395,0.970246127351479,0.14338913805227,6.76652458150484,1.31912636145433e-11,4.09003024947909e-11,"SOCAR","NS"
